id,name,location,room_info,floor,direction,area,price,avg_price,history,title,labels,timestamp
S3049227906621449,长春新苑,徐汇 田林 桂林路567弄,1室2厅1卫,中层(共6层),南北,56.75㎡,368万,64846元/㎡,1996年建造,田林热搜榜！边套全明大一房！豪华装修！有车位！随时看房！,"['南北', '满五年', '近地铁', '采光较好']",2024-06-07 15:42:03
S3049242756752386,金海华城华康佳苑,浦东 曹路 银峰路676弄,3室2厅1卫,中层(共18层),南,99.94㎡,350万,35022元/㎡,2017年建造,正南 3室2厅 金海华城华康佳苑,"['南', '热门小区', '近地铁', '新上小区']",2024-06-07 16:14:29
S3049245728759811,加盟圣蓝,浦东 周浦 康沈路1527弄,3室2厅2卫,中层(共18层),南北,139.08㎡,550万,39546元/㎡,2012年建造,加盟圣蓝 中间楼层采光好 商品住宅 南北通透 商业配套齐全,"['南北', '满五年', '近地铁', '多人关注']",2024-06-07 16:16:54
S3049246720761859,崮山小区四街坊,浦东 洋泾 羽山路1445弄,1室1厅1卫,低层(共6层),南北,45.02㎡,353万,78410元/㎡,1997年建造,崮山小区四街坊 南北通透 商圈成熟 出行方便 近地铁 近医院,"['南北', '满五年', '近地铁']",2024-06-07 16:37:54
S3049251579683849,雪野二村,"浦东 世博 雪野路34弄,浦东南路4950弄,浦东南路4800弄",2室0厅1卫,中层(共6层),南北,51.42㎡,309万,60094元/㎡,1990年建造,急售 近地铁78双线，世博明星小区，产权清晰，看房提前联系,"['南北', '满五年', '近地铁']",2024-06-07 16:37:35
S3049254518250508,绿洲康城亲水湾(中区),浦东 御桥 康桥路1558弄,2室2厅1卫,中层(共18层),南北,82.65㎡,530万,64126元/㎡,2017年建造,雅颂新上笋盘（南北通透全明户型）精装修次新房，满五年就一套,"['南北', '满五年', '车位充足', '户型方正']",2024-06-07 16:37:35
S3049269425972237,金桥瑞仕花园,浦东 金杨新村 枣庄路399弄,2室2厅1卫,高层(共16层),南北,116.67㎡,1250万,107140元/㎡,2008年建造,人车分流！金杨天花板！刷卡入户！两房两厅！花园位置！诚意出售,"['南北', '满五年', '近地铁', '绿化率高']",2024-06-07 16:37:39
S3049273204579329,绿海家园,浦东 川沙 川周路8828弄,2室1厅1卫,中层(共6层),南,54.59㎡,188万,34439元/㎡,1995年建造,绿海家园 购物方便 南向采光好 环境优美 楼层好 正规商品房,"['南', '房东直卖', '近地铁', '绿化率高']",2024-06-07 16:37:27
S3049281083432961,徐汇公园道壹号,"徐汇 龙华 宾南路19弄,宾阳路18弄",3室2厅2卫,高层(共18层),南北,133.93㎡,2130万,159039元/㎡,2019年建造,公园道二期高性价比三房 真实房价 包括产权车位 高区景观房,"['南北', '满五年', '近地铁', '次新房']",2024-06-07 15:34:30
S3049332786193421,金地未未来,浦东 外高桥 张杨北路2899弄,3室3厅1卫,共5层,南北,89.63㎡,845万,94277元/㎡,2011年建造,5楼洋房，送50万车位，接受置换，全新精装全送，靠6号线地,"['南北', '近地铁', '绿化率高', '多人关注']",2024-06-07 16:37:46
